key,value,sd,notebook,partition,n,appears_in,note
asr_clean,0.015,,NB09,test,200,Table 9; Abstract,
asr_mcnemar_p,5.398760549724102e-09,,NB09,test,200,Table 9,
asr_poisoned,0.23,,NB09,test,200,Table 9; Abstract,
asr_relative_reduction,0.7391304347826088,,NB09,test,200,Table 9; Abstract,the evidence for 'Neutralizing'
asr_sanitised,0.06,,NB09,test,200,Table 9; Abstract,
attention_precision_at_k,0.6916866518650915,0.22382712051443926,NB05,test,200,Figure 5,
attention_random_baseline,0.15762405616493208,,NB05,test,200,Figure 5,
baseline_char_ngram_lr_accuracy,0.6433666191155493,,NB08,test,701,Table 4,
baseline_char_ngram_lr_f1,0.5318352059925093,,NB08,test,701,Table 4,
baseline_char_ngram_lr_fpr,0.17158176943699732,,NB08,test,701,Table 4,
baseline_char_ngram_lr_recall,0.4329268292682927,,NB08,test,701,Table 4,
baseline_keyword_accuracy,0.49358059914407987,,NB08,test,701,Table 4,
baseline_keyword_f1,0.5431145431145431,,NB08,test,701,Table 4,
baseline_keyword_fpr,0.6380697050938338,,NB08,test,701,Table 4,
baseline_keyword_recall,0.6432926829268293,,NB08,test,701,Table 4,
baseline_mixture_of_encodings_accuracy,0.5320970042796006,,NB08,test,701,Table 4,
baseline_mixture_of_encodings_f1,0.0,,NB08,test,701,Table 4,
baseline_mixture_of_encodings_fpr,0.0,,NB08,test,701,Table 4,
baseline_mixture_of_encodings_recall,0.0,,NB08,test,701,Table 4,
baseline_regex_patterns_accuracy,0.5920114122681883,,NB08,test,701,Table 4,
baseline_regex_patterns_f1,0.22702702702702704,,NB08,test,701,Table 4,
baseline_regex_patterns_fpr,0.0,,NB08,test,701,Table 4,
baseline_regex_patterns_recall,0.12804878048780488,,NB08,test,701,Table 4,
baseline_tfidf_lr_accuracy,0.6590584878744651,,NB08,test,701,Table 4,
baseline_tfidf_lr_f1,0.45558086560364464,,NB08,test,701,Table 4,
baseline_tfidf_lr_fpr,0.029490616621983913,,NB08,test,701,Table 4,
baseline_tfidf_lr_recall,0.3048780487804878,,NB08,test,701,Table 4,
baseline_tfidf_svm_accuracy,0.62339514978602,,NB08,test,701,Table 4,
baseline_tfidf_svm_f1,0.33668341708542715,,NB08,test,701,Table 4,
baseline_tfidf_svm_fpr,0.00804289544235925,,NB08,test,701,Table 4,
baseline_tfidf_svm_recall,0.20426829268292682,,NB08,test,701,Table 4,
ceps_v1,0.867711742864182,0.25386983967135085,NB07,test,328,Table 10,
ceps_v1_noop,1.0,,NB07,test,328,Table 10,R4-7: v1 scores a no-op sanitiser perfectly
ceps_v2_combined,0.6066113375578753,0.4410745451292498,NB07,test,328,Table 10,
ceps_v2_noop,0.0,,NB07,test,328,Table 10,
ceps_v2_preservation,0.867711742864182,0.25386983967135085,NB07,test,328,Table 10,
ceps_v2_removal,0.7042682926829268,0.45133279724909736,NB07,test,328,Table 10,
corpus_drugs,336,,NB01,corpus,,Section 3.7,
corpus_patient_cases,1000,,NB01,corpus,,Section 3.7,
corpus_rag_documents,1604,,NB01,corpus,,Table 2; Section 3.7,
dataset_adversarial,2408,,NB02,all,5353,Table 2; Figure 1,
dataset_benign,2945,,NB02,all,5353,Table 2; Figure 1,
dataset_chunks,5353,,NB02,all,5353,Table 2; Figure 1; Section 3.7,
length_only_auc_v1_counterfactual,1.0,,NB03,simulated,,Section 4.1,"v1's distribution, same probe"
length_only_auc_v2,0.5103356110638855,,NB03,test,701,Section 4.1,0.50 = no signal
length_parity_pct,0.0,,NB02,all,5353,Section 3.7,"R4-6: v1 had 2,648 vs 20 word medians"
module1_adversarial_mean,0.7384383378016086,,NB04,test probe,,Table 7,Microsoft PyRIT suite
module1_base64_rate,1.0,,NB04,test probe,373,Table 7,
module1_canonical_mean,1.0,,NB04,test probe,,Table 7,
module1_control_clean_rate,0.02680965147453083,,NB04,test probe,373,Table 7,
module1_hex_rate,1.0,,NB04,test probe,373,Table 7,
module1_leet_rate,1.0,,NB04,test probe,373,Table 7,
module1_plaintext_rate,0.01876675603217158,,NB04,test probe,373,Table 7,
module1_unicode_rate,1.0,,NB04,test probe,373,Table 7,
module1_url_rate,1.0,,NB04,test probe,373,Table 7,
module2_accuracy,0.9726105563480741,0.012288077299491012,NB05,test,701,Table 3; Table 6,
module2_auc,0.9987379846988818,0.0011271019609705448,NB05,test,701,Table 3; Table 6,
module2_f1,0.9697151863642475,0.013993794882137036,NB05,test,701,Table 3; Table 6,
module2_fpr,0.0010723860589812334,0.0023979281260051366,NB05,test,701,Table 3; Table 6,
module2_precision,0.9987616099071207,0.002769124430340279,NB05,test,701,Table 3; Table 6,
module2_recall,0.9426829268292684,0.02814141648588858,NB05,test,701,Table 3; Table 6,
module2_recall_misinformation,0.9030303030303031,0.04810456929208347,NB05,test,165,Table 3; Section 4.3,
module2_recall_override,0.9828220858895704,0.011800849117589786,NB05,test,163,Table 3; Section 4.3,
module3_precision,0.9852941176470589,,NB06,test,701,Table 6,
module3_recall,0.20426829268292682,,NB06,test,701,Table 6,
module3_similarity_auc_document,0.45905929019848946,,NB06,all,,Section 4.4,below chance: the similarity signal does not separate the classes
mpib_asr2_clean,2.577319587628866,,NB10,V2,582,Table 5,
mpib_asr2_poisoned,2.2336769759450172,,NB10,V2,582,Table 5,
mpib_asr2_sanitised,2.2336769759450172,,NB10,V2,582,Table 5,
mpib_cher3_clean,1.7182130584192439,,NB10,V2,582,Table 5,
mpib_cher3_poisoned,1.8900343642611683,,NB10,V2,582,Table 5,
mpib_cher3_sanitised,1.8900343642611683,,NB10,V2,582,Table 5,
mpib_detection_rate,0.013745704467353952,,NB10,V2,582,Table 5,"R1-d, R4-2: v1 reported 99-100%, which was the attack success rate"
policy_detect_and_block_residual_pct,3.9634146341463414,,NB07,test,328,Table 11,
policy_sanitise_and_pass_residual_pct,30.48780487804878,,NB07,test,328,Table 11,
policy_verify_or_block_residual_pct,3.048780487804878,,NB07,test,328,Table 11,
sanitisation_benign_altered_pct,7.238605898123325,,NB07,test benign,373,Section 4.6,
split_test_adversarial,328,,NB03,test,701,Table 2,
split_test_chunks,701,,NB03,test,701,Table 2,
split_train_adversarial,1720,,NB03,train,3840,Table 2,
split_train_chunks,3840,,NB03,train,3840,Table 2,
split_val_adversarial,360,,NB03,val,812,Table 2,
split_val_chunks,812,,NB03,val,812,Table 2,
sweep_checkpoint_checkpoint_on_accuracy,0.9957203994293866,0.0020174230561670805,NB11,test,,Table 12,
sweep_checkpoint_split_70_15_15_patience_3_ckpt_loss_m1_true_earlier_run_,0.9936,0.005,NB11,test,,Table 12,
sweep_module1_module1_false,0.9971469329529244,0.0,NB11,test,,Table 12,
sweep_module1_split_70_15_15_patience_3_ckpt_loss_m1_true_earlier_run_,0.9936,0.005,NB11,test,,Table 12,
sweep_patience_patience_2,0.9900142653352354,0.0020174230561670805,NB11,test,,Table 12,
sweep_patience_patience_5,0.9964336661911555,0.0010087115280835402,NB11,test,,Table 12,
sweep_patience_split_70_15_15_patience_3_ckpt_loss_m1_true_earlier_run_,0.9936,0.005,NB11,test,,Table 12,
sweep_split_split_60_20_20,0.9874869655891554,0.007373376237607369,NB11,test,,Table 12,
sweep_split_split_70_15_15,0.9878744650499287,0.005043557640417623,NB11,test,,Table 12,
